Year	Mean	Fluct	Weight
1972-12-31	-9999.0	-9999.0	0.0
1973-12-31	-9999.0	-9999.0	0.0
1974-12-31	-9999.0	-9999.0	0.0
1975-12-31	-9999.0	-9999.0	0.0
1976-12-31	-9999.0	-9999.0	0.0
1977-12-31	-9999.0	-9999.0	0.0
1978-12-31	-9999.0	-9999.0	0.0
1979-12-31	-9999.0	-9999.0	0.0
1980-12-31	-9999.0	-9999.0	0.0
1981-12-31	-9999.0	-9999.0	0.0
1982-12-31	-9999.0	-9999.0	0.0
1983-12-31	-9999.0	-9999.0	0.0
1984-12-31	-9999.0	-9999.0	0.0
1985-12-31	-9999.0	-9999.0	0.0
1986-12-31	-9999.0	-9999.0	0.0
1987-12-31	-9999.0	-9999.0	0.0
1988-12-31	-9999.0	-9999.0	0.0
1989-12-31	-9999.0	-9999.0	0.0
1990-12-31	-9999.0	-9999.0	0.0
1991-12-31	-9999.0	-9999.0	0.0
1992-12-31	-9999.0	-9999.0	0.0
1993-12-31	-9999.0	-9999.0	0.0
1994-12-31	-9999.0	-9999.0	0.0
1995-12-31	-9999.0	-9999.0	0.0
1996-12-31	150.1	-4.50423299092671	0.01649933377478576
1997-12-31	-9999.0	-9999.0	0.0
1998-12-31	160.19	5.585767009073294	0.01649933377478576
1999-12-31	-9999.0	-9999.0	0.0
2000-12-31	164.22	9.615767009073295	0.01649933377478576
2001-12-31	152.96	-1.644232990926696	0.01649933377478576
2002-12-31	151.03166666666667	-3.5725663242600376	0.01649933377478576
2003-12-31	156.12549019607846	1.5212572051517554	0.11884174366011817
2004-12-31	155.91817610062895	1.313943109702251	0.1716765031412292
2005-12-31	149.75936329588015	-4.844869695046555	0.4571099519248558
2006-12-31	153.1484180790961	-1.4558149118306005	0.22781601675238558
2007-12-31	153.0540000000002	-1.550232990926503	0.256111793855658
2008-12-31	156.40800546448077	1.8037724735540621	0.2923706800065249
2009-12-31	154.91185595567876	0.3076229647520563	0.3400961899249144
2010-12-31	156.88283707865162	2.278604087724915	0.28093280119358943
2011-12-31	149.74944903581272	-4.854783955113987	0.3897959093997116
