Year	Mean	Fluct	Weight
1972-12-31	-9999.0	-9999.0	0.0
1973-12-31	-9999.0	-9999.0	0.0
1974-12-31	-9999.0	-9999.0	0.0
1975-12-31	-9999.0	-9999.0	0.0
1976-12-31	-9999.0	-9999.0	0.0
1977-12-31	-9999.0	-9999.0	0.0
1978-12-31	-9999.0	-9999.0	0.0
1979-12-31	-9999.0	-9999.0	0.0
1980-12-31	-9999.0	-9999.0	0.0
1981-12-31	-9999.0	-9999.0	0.0
1982-12-31	-9999.0	-9999.0	0.0
1983-12-31	-9999.0	-9999.0	0.0
1984-12-31	-9999.0	-9999.0	0.0
1985-12-31	7.86	0.7558982683982682	0.03021601619619144
1986-12-31	7.95	0.8458982683982681	0.03021601619619144
1987-12-31	7.96	0.8558982683982679	0.03021601619619144
1988-12-31	8.08	0.975898268398268	0.03021601619619144
1989-12-31	7.34	0.23589826839826777	0.03021601619619144
1990-12-31	5.1	-2.0041017316017324	0.03021601619619144
1991-12-31	-9999.0	-9999.0	0.0
1992-12-31	-9999.0	-9999.0	0.0
1993-12-31	-9999.0	-9999.0	0.0
1994-12-31	7.2	0.0958982683982681	0.03021601619619144
1995-12-31	6.94	-0.1641017316017317	0.03021601619619144
1996-12-31	6.86	-0.24410173160173176	0.03021601619619144
1997-12-31	6.6790909090909105	-0.42501082251082156	0.585864731853291
1998-12-31	6.690000000000001	-0.4141017316017308	0.5167980092132108
1999-12-31	6.895833333333332	-0.20826839826839993	0.34932134708889556
2000-12-31	6.9575	-0.1466017316017325	0.5520270213602753
2001-12-31	6.945000000000001	-0.1591017316017309	0.31045422568044334
2002-12-31	-9999.0	-9999.0	0.0
2003-12-31	-9999.0	-9999.0	0.0
2004-12-31	-9999.0	-9999.0	0.0
2005-12-31	-9999.0	-9999.0	0.0
2006-12-31	-9999.0	-9999.0	0.0
2007-12-31	-9999.0	-9999.0	0.0
2008-12-31	-9999.0	-9999.0	0.0
2009-12-31	-9999.0	-9999.0	0.0
2010-12-31	-9999.0	-9999.0	0.0
2011-12-31	-9999.0	-9999.0	0.0
