kepon_l01_zpc01 1.0000000000E-10     
kepon_l02_zpc01 2.2360679775E-10     
kepon_l03_zpc01 2.2360679775E-10     
kepon_l04_zpc01 3.1622776602E-10     
kepon_l05_zpc01 1.0000000000E-09     
kepon_l06_zpc01 2.2360679775E-10     
kepon_l07_zpc01 1.0000000000E-10     
kepon_l08_zpc01 3.1622776602E-10     
kepon_l09_zpc01 3.1622776602E-10     
kepon_l10_zpc01 3.1622776602E-10     
kepon_l11_zpc01 3.1622776602E-10     
kepon_l12_zpc01 7.0710678119E-11     
kepon_l13_zpc01 2.2360679775E-11     
kepon_l14_zpc01 3.1622776602E-10     
kepon_l15_zpc01 1.0000000000E-10     
