emmli_l01_zpc01 3.1500000000E-01     
emmli_l02_zpc01 2.0500000000E-01     
emmli_l03_zpc01 2.0500000000E-01     
emmli_l04_zpc01 2.0500000000E-01     
emmli_l05_zpc01 2.8050000000E-01     
emmli_l06_zpc01 2.0500000000E-01     
emmli_l07_zpc01 2.8500000000E-01     
emmli_l08_zpc01 2.8500000000E-01     
emmli_l09_zpc01 2.8050000000E-01     
emmli_l10_zpc01 2.8500000000E-01     
emmli_l11_zpc01 2.8500000000E-01     
emmli_l12_zpc01 1.0050000000E-01     
emmli_l13_zpc01 1.0050000000E-01     
emmli_l14_zpc01 1.0050000000E-01     
emmli_l15_zpc01 1.0050000000E-01     
