Date	value
2003-08-01	73.5
2003-08-11	75.75
2003-08-21	77.46
2003-09-01	78.15
2003-09-11	78.7
2003-09-21	78.84
2003-10-01	79.02
2003-10-11	79.08
2003-10-21	79.05
2003-11-11	79.15
2003-11-21	79.22
2004-06-01	79.18
2004-06-11	78.98
2004-06-21	78.62
2004-07-03	78.1
2004-07-11	77.17
2004-07-23	77.02
2004-08-01	77.13
2004-08-11	77.62
2004-08-22	79.0
2004-09-01	78.99
2004-09-11	78.99
2004-09-21	79.07
2004-10-11	79.15
2004-10-21	79.2
2004-11-01	79.17
2004-11-11	79.12
2004-11-21	79.07
2004-12-01	79.03
2004-12-12	79.01
2004-12-20	79.2
2005-01-02	79.26
2005-01-11	79.23
2005-01-23	79.21
2005-02-01	79.17
2005-02-21	79.13
2005-03-01	79.12
2005-03-11	79.1
2005-03-21	79.09
