Date	value
2003-08-20	82.66
2003-09-16	83.79
2003-10-15	83.65
2003-11-17	84.21
2003-12-17	84.88
2004-01-21	88.74
2004-02-23	85.58
2004-03-18	84.73
2004-04-26	86.07
2004-05-17	85.21
2004-06-21	83.34
2004-08-23	84.45
2004-09-23	83.94
2004-10-19	84.79
2004-11-22	84.2
2004-12-13	84.04
2005-01-18	84.91
2005-02-14	84.75
2005-03-21	84.32
2005-04-25	85.04
2005-05-19	84.6
2005-07-01	81.63
2005-08-23	81.0
2005-09-22	82.78
2005-10-21	83.76
2005-11-23	83.5
2005-12-13	85.19
2006-01-12	87.35
2006-02-14	84.81
2006-03-16	88.51
2006-04-19	86.27
2006-05-12	84.39
2006-06-21	81.59
2006-07-26	78.67
2006-08-29	84.03
2006-09-18	86.73
2006-10-23	85.47
2006-11-28	86.9
2006-12-11	87.98
2007-01-30	87.27
2007-02-19	88.03
2007-03-26	86.78
2007-04-25	85.22
2007-05-23	84.74
2007-06-18	86.36
2007-08-27	84.52
2007-09-12	84.53
2007-10-22	83.97
2007-11-20	83.86
2007-12-17	85.87
2008-01-29	86.97
2008-02-25	85.26
2008-03-31	86.77
2008-04-28	85.97
2008-05-28	86.89
2008-06-24	85.24
2008-08-25	84.12
2008-09-16	84.31
2008-10-13	83.96
2008-11-17	85.27
2008-12-18	87.16
2009-01-28	88.82
2009-02-16	86.06
2009-03-16	84.77
2009-04-22	84.75
2009-05-19	88.28
2009-06-16	85.54
2009-07-24	82.92
2009-08-19	82.01
2009-09-21	83.73
2009-10-23	83.65
2009-11-23	85.07
2009-12-15	86.5
2010-01-25	87.64
2010-02-22	86.3
2010-03-22	85.22
2010-04-26	85.31
2010-05-25	84.77
2010-06-21	85.9
2010-07-27	81.72
2010-08-31	83.64
2010-09-22	83.62
2010-10-27	83.61
2010-11-23	86.15
2010-12-20	85.39
2011-01-27	85.14
2011-02-17	84.46
2011-03-22	84.69
2011-04-27	83.52
2011-05-25	83.77
2011-06-26	80.32
2011-07-25	82.22
2011-08-30	82.65
2011-09-26	83.09
2011-10-17	83.14
2011-11-28	83.39
2011-12-15	84.46
2012-01-26	85.07
2012-02-28	84.71
2012-03-27	84.09
2012-04-26	85.6
2012-05-22	85.8
2012-06-27	84.81
2012-07-24	81.49
2012-08-30	76.12
2012-09-26	83.23
2012-10-29	84.67
2012-11-22	84.5
2012-12-19	88.49
2013-01-29	88.63
2013-02-25	87.6
2013-03-27	85.76
2013-04-24	85.47
2013-05-28	86.02
2013-06-26	87.06
2013-07-24	83.5
2013-08-26	83.0
2013-09-24	83.88
2013-10-30	85.63
2013-11-28	86.1
2013-12-17	84.87
2014-01-29	88.54
2014-02-27	88.11
2014-03-26	86.94
2014-04-29	85.51
2014-05-27	86.08
2014-06-24	84.97
2014-07-29	84.39
2014-08-26	84.03
2014-09-24	83.95
2014-10-29	84.01
2014-11-26	86.18
2014-12-17	84.97
2015-01-30	87.33
2015-02-27	86.64
2015-03-25	85.5
2015-04-14	84.78
2015-05-26	84.52
2015-06-24	84.36
2015-07-28	80.86
2015-08-28	83.84
2015-09-23	83.67
2015-10-21	83.54
2015-11-25	83.66
2015-12-15	83.65
2016-01-20	87.85
2016-02-16	89.22
2016-03-24	86.26
2016-04-27	85.43
2016-05-24	84.76
2016-06-22	85.66
2016-07-28	84.04
2016-08-31	83.3
2016-09-27	83.57
2016-10-18	83.58
2016-11-30	84.74
2016-12-19	83.97
2017-01-25	84.12
2017-02-27	84.94
2017-03-29	85.99
2017-04-27	84.6
2017-05-30	84.34
2017-06-28	84.06
2017-07-24	83.89
2017-08-30	83.54
2017-09-27	83.63
2017-10-18	83.56
2017-11-28	83.57
2017-12-20	87.38
2018-01-15	88.13
2018-02-28	86.05
2018-03-29	86.53
2018-04-27	85.73
2018-05-24	84.92
2018-06-21	85.49
2018-07-26	84.32
2018-08-31	83.79
2018-09-18	83.76
2018-10-18	83.66
2018-11-29	83.78
2018-12-20	85.97
2019-01-28	84.76
2019-02-27	85.4
2019-03-26	84.56
2019-04-23	84.18
2019-05-28	84.08
2019-06-25	84.33
2019-07-25	81.37
