Date	value
2003-09-10	88.64
2003-12-03	88.68
2004-03-18	90.99
2004-06-16	90.32
2004-09-24	88.21
2004-12-08	87.92
2005-03-23	88.5
2005-06-22	88.16
2005-09-14	86.28
2005-12-07	86.46
2006-03-15	90.84
2006-06-23	89.61
2006-09-18	86.87
2006-12-11	88.84
2007-01-30	90.17
2007-02-19	90.99
2007-03-26	92.65
2007-04-25	91.99
2007-05-23	91.21
2007-06-20	90.94
2007-07-23	90.27
2007-08-27	89.3
2007-09-12	89.4
2007-10-22	88.76
2007-11-20	88.58
2007-12-19	88.95
2008-01-29	90.26
2008-02-25	90.26
2008-04-01	90.63
2008-04-28	91.06
2008-05-28	91.17
2008-06-24	91.83
2008-07-31	90.26
2008-08-25	89.46
2008-09-16	89.68
2008-10-13	88.77
2008-11-17	89.22
2008-12-18	90.53
2009-01-30	91.41
2009-02-16	91.72
2009-03-16	91.12
2009-04-22	90.54
2009-05-19	91.56
2009-06-16	91.29
2009-07-23	89.92
2009-08-19	88.93
2009-09-21	88.41
2009-10-23	88.2
2009-11-23	88.91
2009-12-15	89.72
2010-01-25	91.2
2010-02-22	92.06
2010-03-22	91.48
2010-04-26	91.61
2010-05-25	91.19
2010-06-21	90.66
2010-07-19	90.36
2010-08-31	88.85
2010-09-22	88.49
2010-10-27	88.11
2010-11-23	88.56
2010-12-20	89.45
2011-01-27	89.66
2011-02-17	89.41
2011-03-22	89.27
2011-04-27	88.86
2011-05-25	88.2
2011-06-26	88.48
2011-07-25	86.85
2011-08-30	86.48
2011-09-26	86.36
2011-10-17	86.26
2011-11-28	86.16
2011-12-15	86.36
2012-01-30	88.41
2012-02-29	88.09
2012-03-29	87.69
2012-04-26	87.78
2012-05-16	89.68
2012-06-27	89.38
2012-07-24	85.83
2012-08-30	87.01
2012-09-26	86.82
2012-10-29	87.11
2012-11-22	87.28
2012-12-20	88.29
2013-01-29	90.63
2013-02-25	92.34
2013-03-27	92.08
2013-04-24	91.61
2013-05-28	91.43
2013-06-26	91.92
2013-07-24	91.08
2013-08-26	89.66
2013-09-24	89.08
2013-10-22	89.23
2013-11-28	90.11
2013-12-17	89.84
2014-01-29	91.46
2014-02-27	93.41
2014-03-28	93.99
2014-04-29	93.84
2014-06-24	92.83
2014-07-29	91.82
2014-08-26	91.26
2014-09-24	90.42
2014-10-29	89.87
2014-11-26	90.07
2014-12-17	90.14
2015-01-30	90.75
2015-02-27	91.38
2015-03-25	92.11
2015-04-14	91.59
2015-05-26	90.95
2015-07-09	90.03
2015-07-28	88.89
2015-08-25	88.56
2015-09-23	88.21
2015-10-21	87.95
2015-11-26	87.86
2015-12-15	87.73
2016-01-20	89.45
2016-02-16	91.05
2016-03-24	92.33
2016-04-27	91.93
2016-05-24	91.33
