Date	value
2003-09-10	76.61
2003-12-03	76.62
2004-03-12	77.52
2004-06-16	77.52
2004-09-15	75.52
2004-12-13	77.32
2005-03-25	76.51
2005-07-22	71.41
2005-09-16	73.75
2005-12-09	74.77
2006-03-15	77.27
2006-06-21	74.42
2006-09-18	68.21
2006-12-11	68.09
2007-01-30	77.12
2007-02-19	77.64
2007-03-26	78.33
2007-04-25	78.27
2007-05-23	75.49
2007-06-18	77.59
2007-07-23	69.43
2007-08-27	76.4
2007-09-11	76.45
2007-10-22	67.76
2007-11-20	76.35
2007-12-17	76.49
2008-01-29	77.18
2008-02-25	77.32
2008-03-31	67.17
2008-04-28	76.81
2008-05-26	77.68
2008-07-01	77.99
2008-07-28	70.89
2008-08-25	76.27
2008-09-16	76.3
2008-10-13	76.52
2008-11-17	76.06
2008-12-18	77.23
2009-01-28	77.36
2009-02-16	77.74
2009-03-16	77.52
2009-04-22	77.17
2009-05-19	77.59
2009-06-16	77.54
2009-07-23	70.94
2009-09-21	75.44
2009-10-23	75.46
2009-11-23	75.57
2009-12-15	76.32
2010-01-25	77.11
2010-02-22	77.72
2010-03-22	77.56
2010-04-26	77.12
2010-05-25	77.33
2010-06-21	77.93
2010-07-27	67.9
2010-09-07	73.77
2010-09-22	73.9
2010-10-27	75.04
2010-11-23	68.22
2010-12-20	75.71
2011-01-27	76.5
2011-02-17	76.02
2011-03-22	76.32
2011-04-27	76.02
2011-05-25	73.62
2011-06-26	68.83
2011-07-25	69.54
2011-08-30	73.85
2011-09-26	74.18
2011-10-17	74.23
2011-11-28	74.24
2011-12-15	74.26
2012-01-30	75.43
2012-02-28	75.28
2012-03-27	75.22
2012-04-26	75.22
2012-05-14	73.96
2012-09-26	67.6
2012-10-29	75.24
2012-11-22	75.39
2012-12-19	75.9
2013-01-29	77.34
2013-02-25	78.24
2013-03-27	78.13
2013-04-24	77.62
2013-05-28	78.13
2013-06-26	78.42
2013-07-26	80.75
2013-08-26	73.09
2013-09-26	76.29
2013-10-22	76.55
2013-11-28	77.04
2013-12-17	77.03
2014-01-29	78.0
2014-02-27	78.87
2014-03-26	79.21
2014-04-29	79.13
2014-05-27	79.04
2014-07-29	77.84
2014-08-26	77.38
2014-09-24	77.0
2014-10-29	76.72
2014-11-26	76.87
2014-12-17	76.89
2015-01-30	77.42
2015-02-27	77.03
2015-03-25	78.03
2015-04-14	75.55
2015-05-26	77.41
2015-06-24	70.78
2015-07-28	68.84
2015-08-25	75.46
2015-09-23	75.53
2015-10-21	75.44
2015-11-25	75.46
2015-12-15	75.37
2016-01-20	76.15
2016-02-16	77.12
2016-03-24	77.96
2016-04-27	77.89
2016-05-24	77.41
2016-06-22	77.6
2016-07-28	71.76
2016-08-31	68.25
2016-09-27	71.87
2016-11-30	75.45
2016-12-22	75.35
2017-01-25	75.34
2017-02-27	75.87
2017-03-29	76.41
2017-04-27	76.09
2017-06-28	72.73
2017-07-24	77.01
2017-08-30	77.72
2017-09-27	74.69
2017-10-18	74.77
2017-11-28	74.7
2017-12-20	75.11
2018-01-15	76.6
2018-02-28	78.16
2018-03-29	78.22
2018-04-27	78.52
2018-05-24	78.25
2018-06-21	78.18
2018-07-26	78.4
2018-08-31	70.65
2018-09-18	70.6
2018-10-17	75.72
2018-11-08	75.62
2018-11-09	75.62
2018-11-10	75.66
2018-11-11	75.64
2018-11-12	75.63
2018-11-13	75.53
2018-11-14	75.57
2018-11-15	75.59
2018-11-16	75.58
2018-11-17	75.62
2018-11-18	75.64
2018-11-19	75.69
2018-11-20	75.69
2018-11-21	75.62
2018-11-22	75.6
2018-11-23	75.61
2018-11-24	75.6
2018-11-25	75.67
2018-11-26	75.62
2018-11-27	75.53
2018-11-28	75.54
2018-11-29	75.59
2018-11-30	75.56
2018-12-01	75.55
2018-12-02	75.58
2018-12-03	75.61
2018-12-04	75.6
2018-12-05	75.65
2018-12-06	75.64
2018-12-07	75.71
2018-12-08	75.71
2018-12-09	75.73
2018-12-10	75.72
2018-12-11	75.8
2018-12-12	75.87
2018-12-13	75.94
2018-12-14	75.88
2018-12-15	75.89
2018-12-16	75.94
2018-12-17	75.87
2018-12-18	75.98
2018-12-19	76.0
2018-12-20	75.99
2018-12-21	76.01
2018-12-22	76.02
2018-12-23	76.07
2018-12-24	76.11
2018-12-25	76.15
2018-12-26	76.2
2018-12-27	76.23
2018-12-28	76.23
2018-12-29	76.21
2018-12-30	76.22
2018-12-31	76.25
2019-01-01	76.26
2019-01-02	76.26
2019-01-03	76.27
2019-01-04	76.27
2019-01-05	76.26
2019-01-06	76.27
2019-01-07	76.27
2019-01-08	76.33
2019-01-09	76.35
2019-01-10	76.33
2019-01-11	76.3
2019-01-12	76.29
2019-01-13	76.34
2019-01-14	76.36
2019-01-15	76.35
2019-01-16	76.39
2019-01-17	76.39
2019-01-18	76.35
2019-01-19	76.41
2019-01-20	76.4
2019-01-21	76.31
2019-01-22	76.4
2019-01-23	76.45
2019-01-24	76.35
2019-01-25	76.28
2019-01-26	76.34
2019-01-27	76.4
2019-01-28	76.39
2019-01-29	76.48
2019-01-30	76.46
2019-01-31	76.6
2019-02-01	76.67
2019-02-02	76.63
2019-02-03	76.52
2019-02-04	76.59
2019-02-05	76.64
2019-02-06	76.73
2019-02-07	76.75
2019-02-08	76.82
2019-02-09	76.86
2019-02-10	76.91
2019-02-11	76.82
2019-02-12	76.77
2019-02-13	76.82
2019-02-14	76.86
2019-02-15	76.89
2019-02-16	76.92
2019-02-17	76.97
2019-02-18	76.98
2019-02-19	76.96
2019-02-20	76.94
2019-02-21	76.91
2019-02-22	76.9
2019-02-23	76.91
2019-02-24	76.89
2019-02-25	76.9
2019-02-26	76.91
2019-02-27	76.94
2019-02-28	76.9
2019-03-01	76.92
2019-03-02	76.93
2019-03-03	77.02
2019-03-04	77.01
2019-03-05	77.0
2019-03-06	77.09
2019-03-07	77.02
2019-03-08	76.9
2019-03-09	76.83
2019-03-10	76.84
2019-03-11	76.79
2019-03-12	76.87
2019-03-13	76.84
2019-03-14	76.82
2019-03-15	76.82
2019-03-16	76.89
2019-03-17	76.89
2019-03-18	76.81
2019-03-19	76.79
2019-03-20	76.78
2019-03-21	76.8
2019-03-22	76.79
2019-03-23	76.79
2019-03-24	76.77
2019-03-25	76.76
2019-03-26	76.73
2019-03-27	76.72
2019-03-28	76.74
2019-03-29	76.77
2019-03-30	76.8
2019-03-31	76.83
2019-04-01	76.81
2019-04-02	76.81
2019-04-03	76.86
2019-04-04	76.85
2019-04-05	76.86
2019-04-06	76.85
2019-04-07	76.78
2019-04-08	76.73
2019-04-09	76.73
2019-04-10	76.71
2019-04-11	76.66
2019-04-12	76.63
2019-04-13	76.63
2019-04-14	76.64
2019-04-15	76.7
2019-04-16	76.63
2019-04-17	76.67
2019-04-18	76.64
2019-04-19	76.58
2019-04-20	76.59
2019-04-21	76.62
2019-04-22	76.71
2019-04-23	76.71
2019-04-24	76.69
2019-04-25	76.64
2019-04-26	76.56
2019-04-27	76.46
2019-04-28	76.46
2019-04-29	76.51
2019-04-30	76.52
2019-05-01	76.56
2019-05-02	76.54
2019-05-03	76.54
2019-05-04	76.51
2019-05-05	76.48
2019-05-06	76.51
2019-05-07	76.55
2019-05-08	76.58
2019-05-09	76.58
2019-05-10	76.53
2019-05-11	76.49
2019-05-12	76.39
2019-05-13	76.44
2019-05-14	76.49
2019-05-15	76.5
2019-05-16	76.56
2019-05-17	76.56
2019-05-18	76.51
2019-05-19	76.5
2019-05-20	76.47
2019-05-21	76.44
2019-05-22	76.42
2019-05-23	76.42
2019-05-24	76.42
2019-05-25	76.4
2019-05-26	76.39
2019-05-27	76.42
2019-05-28	70.76
2019-05-29	70.7
2019-05-30	73.01
2019-05-31	75.44
2019-06-01	70.66
