Date	value
2003-08-20	120.0
2003-09-16	119.71
2003-10-15	119.39
2003-11-17	119.68
2003-12-17	120.36
2004-01-21	123.17
2004-02-23	121.92
2004-03-18	121.19
2004-04-26	121.34
2004-05-17	121.01
2004-06-16	120.45
2004-07-26	119.77
2004-08-23	119.53
2004-09-23	119.19
2004-10-19	119.68
2004-11-22	119.37
2004-12-13	119.19
2005-01-18	120.29
2005-02-14	120.14
2005-03-21	119.88
2005-04-25	120.07
2005-05-12	120.56
2005-05-20	120.4
2005-05-21	120.4
2005-05-22	120.38
2005-05-23	120.36
2005-05-24	120.33
2005-05-25	120.31
2005-05-26	120.29
2005-05-27	120.28
2005-05-28	120.25
2005-05-29	120.22
2005-05-30	120.19
2005-05-31	120.16
2005-06-01	120.14
2005-06-02	120.12
2005-06-03	120.11
2005-06-04	120.08
2005-06-05	120.04
2005-06-06	120.02
2005-06-07	119.99
2005-06-08	119.96
2005-06-09	119.93
2005-06-10	119.91
2005-06-11	119.89
2005-06-12	119.87
2005-06-13	119.85
2005-06-14	119.82
2005-06-15	119.78
2005-06-16	119.75
2005-06-17	119.72
2005-06-18	119.7
2005-06-19	119.68
2005-06-20	119.65
2005-06-21	119.62
2005-06-22	119.59
2005-06-23	119.57
2005-06-24	119.55
2005-06-25	119.52
2005-06-26	119.49
2005-06-27	119.46
2005-06-28	119.43
2005-06-29	119.18
2005-06-30	119.38
2005-07-01	119.35
2005-07-02	119.32
2005-07-03	119.3
2005-07-04	119.29
2005-07-05	119.26
2005-07-06	119.24
2005-07-07	119.21
2005-07-08	119.19
2005-07-09	119.16
2005-07-10	119.14
2005-07-11	119.11
2005-07-12	119.09
2005-07-13	119.07
2005-07-14	119.05
2005-07-15	119.03
2005-07-16	119.0
2005-07-17	118.98
2005-07-18	118.96
2005-07-19	118.93
2005-07-20	118.9
2005-07-21	118.88
2005-07-22	118.86
2005-07-23	118.84
2005-07-24	118.82
2005-07-25	118.8
2005-07-26	118.78
2005-07-27	118.76
2005-07-28	118.71
2005-07-29	118.7
2005-07-30	118.67
2005-07-31	118.65
2005-08-01	118.63
2005-08-02	118.61
2005-08-03	118.58
2005-08-04	118.56
2005-08-05	118.54
2005-08-06	118.52
2005-08-07	118.5
2005-08-08	118.48
2005-08-09	118.46
2005-08-10	118.44
2005-08-11	118.41
2005-08-12	118.39
2005-08-13	118.37
2005-08-14	118.35
2005-08-15	118.33
2005-08-16	118.31
2005-08-17	118.29
2005-08-18	118.27
2005-08-19	118.25
2005-08-20	118.23
2005-08-21	118.21
2005-08-22	118.19
2005-08-23	118.15
2005-08-24	118.14
2005-08-25	118.13
2005-08-26	118.11
2005-08-27	118.1
2005-08-28	118.09
2005-08-29	118.08
2005-08-30	118.07
2005-08-31	118.06
2005-09-01	118.05
2005-09-02	118.04
2005-09-03	118.03
2005-09-04	118.02
2005-09-05	118.01
2005-09-06	118.0
2005-09-07	117.99
2005-09-08	117.98
2005-09-09	117.97
2005-09-10	117.96
2005-09-11	117.95
2005-09-12	117.94
2005-09-13	117.93
2005-09-14	117.93
2005-09-15	117.92
2005-09-16	117.92
2005-09-17	117.91
2005-09-18	117.9
2005-09-19	117.89
2005-09-20	117.88
2005-09-21	117.88
2005-09-22	117.89
2005-09-23	117.89
2005-09-24	117.88
2005-09-25	117.87
2005-09-26	117.86
2005-09-27	117.86
2005-09-28	117.85
2005-09-29	117.84
2005-09-30	117.83
2005-10-01	117.83
2005-10-02	117.82
2005-10-03	117.81
2005-10-04	117.81
2005-10-05	117.8
2005-10-06	117.8
2005-10-07	117.79
2005-10-08	117.78
2005-10-09	117.8
2005-10-10	117.8
2005-10-11	117.78
2005-10-12	117.77
2005-10-13	117.77
2005-10-14	117.75
2005-10-15	117.74
2005-10-16	117.74
2005-10-17	117.74
2005-10-18	117.74
2005-10-19	117.73
2005-10-20	117.73
2005-10-21	117.72
2005-10-22	117.73
2005-10-23	117.72
2005-10-24	117.21
2005-10-25	116.86
2005-10-26	116.92
2005-10-27	116.93
2005-10-28	117.04
2005-10-29	117.31
2005-10-30	117.42
2005-10-31	117.48
2005-11-01	117.66
2005-11-02	117.66
2005-11-03	117.66
2005-11-04	117.65
2005-11-05	117.72
2005-11-06	117.88
2005-11-07	117.92
2005-11-08	117.73
2005-11-09	117.6
2005-11-10	117.54
2005-11-11	117.54
2005-11-12	117.58
2005-11-13	117.59
2005-11-14	117.6
2005-11-15	117.62
2005-11-22	117.62
2005-12-13	118.71
2006-01-12	120.98
2006-01-20	120.8
2006-01-21	120.78
2006-01-22	120.75
2006-01-23	120.74
2006-01-24	120.73
2006-01-25	120.72
2006-01-26	120.71
2006-01-27	120.69
2006-01-28	120.67
2006-01-29	120.64
2006-01-30	120.61
2006-01-31	120.6
2006-02-01	120.61
2006-02-02	120.62
2006-02-03	120.62
2006-02-04	120.6
2006-02-05	120.57
2006-02-06	120.55
2006-02-07	120.55
2006-02-08	120.55
2006-02-09	120.53
2006-02-10	120.51
2006-02-11	120.48
2006-02-12	120.46
2006-02-13	120.45
2006-02-14	120.44
2006-02-15	120.44
2006-02-16	120.48
2006-02-17	120.87
2006-02-18	121.47
2006-02-19	121.9
2006-02-20	122.22
2006-02-21	122.38
2006-02-22	122.4
2006-02-23	122.4
2006-02-24	122.39
2006-02-25	122.35
2006-02-26	122.3
2006-02-27	122.22
2006-02-28	122.18
2006-03-01	122.13
2006-03-02	122.08
2006-03-03	122.05
2006-03-04	122.23
2006-03-05	122.5
2006-03-06	122.63
2006-03-07	122.67
2006-03-08	122.93
