Date	value
2003-08-11	105.6
2003-09-01	105.2
2003-09-11	106.1
2003-09-21	106.4
2003-10-01	106.4
2003-10-11	105.92
2003-10-21	106.45
2003-11-01	106.55
2003-11-21	106.6
2003-12-01	106.65
2003-12-11	106.68
2003-12-21	106.73
2004-01-01	106.8
2004-01-11	107.2
2004-01-21	107.6
2004-02-01	107.7
2004-02-11	108.0
2004-02-21	107.95
2004-03-01	107.9
2004-03-11	107.8
2004-03-21	107.75
2004-04-01	107.55
2004-04-11	107.47
2004-04-21	107.4
2004-05-01	107.35
2004-05-11	107.4
2004-05-21	107.37
2004-06-01	107.25
2004-06-11	106.9
2004-06-21	106.05
2004-07-21	105.65
2004-08-01	105.35
2004-08-11	105.55
2004-08-21	105.9
2004-09-01	106.4
2004-09-11	106.65
2004-09-21	106.6
2004-10-01	106.62
2004-10-11	106.65
2004-10-21	106.7
2004-11-01	106.67
2004-11-11	106.65
2004-11-21	106.63
2004-12-01	106.68
2004-12-11	106.73
2004-12-21	106.75
2005-01-01	106.78
2005-01-11	106.8
2005-01-21	106.9
2005-02-01	106.94
2005-02-11	106.92
2005-02-21	106.9
2005-03-01	106.9
2005-03-11	106.88
2005-03-21	106.9
2005-04-01	106.85
2005-04-11	106.88
2005-04-21	106.87
2005-05-01	106.85
2005-05-11	106.83
2005-05-21	106.38
2005-06-01	105.4
2005-06-11	105.2
2005-06-21	105.25
2005-07-01	105.68
2005-07-11	104.8
2005-07-21	104.2
2005-08-11	105.61
2005-08-21	106.02
2005-09-01	106.24
2005-09-11	106.26
2005-09-21	106.28
2005-10-01	106.3
2005-10-11	106.31
2005-10-21	106.33
2005-11-01	106.34
2005-11-11	106.35
2005-11-21	106.38
2005-12-01	106.4
2005-12-11	106.41
2005-12-21	106.44
2006-01-01	106.62
2006-01-11	106.75
2006-01-21	106.73
2006-02-01	106.75
2006-02-11	106.8
2006-02-21	107.19
2006-03-01	107.68
2006-03-11	107.88
2006-03-21	108.1
2006-04-01	108.18
2006-04-11	108.14
2006-04-21	108.1
2006-05-01	108.07
2006-05-11	106.55
2006-05-21	106.35
2006-06-01	106.34
2006-06-11	106.37
2006-06-21	106.4
2006-07-01	106.36
2006-07-11	106.38
2006-07-21	106.73
2006-08-01	106.67
2006-08-11	106.02
2006-08-21	106.6
2006-09-01	106.58
2006-09-11	106.56
2006-09-21	106.81
2006-12-01	106.83
2006-12-11	106.88
2006-12-21	107.01
2007-01-01	107.05
2007-01-11	107.11
2007-01-21	107.1
2007-04-01	108.52
2007-04-11	108.19
2007-04-21	107.88
2007-05-01	105.24
2007-05-11	107.55
2007-05-21	107.35
2007-06-01	107.37
2007-06-11	107.39
2007-06-21	107.4
2007-07-01	107.35
2007-07-11	107.25
2007-07-21	107.03
2007-08-01	106.87
2007-08-11	106.85
2007-08-21	106.86
2007-09-01	106.85
2007-09-11	106.82
2007-09-21	106.71
2007-10-01	106.7
2007-10-11	106.68
2007-10-21	106.68
2007-11-01	106.66
2007-11-11	106.67
2007-11-21	106.67
2007-12-01	106.68
2007-12-11	106.67
2007-12-21	106.66
2008-01-01	106.67
2008-01-11	106.7
2008-01-21	106.72
2008-04-01	107.31
2008-04-11	107.33
2008-04-21	107.35
2008-05-01	107.4
2008-05-11	107.41
2008-05-21	107.4
2008-06-01	107.42
2008-06-11	107.49
2008-06-21	107.5
2008-07-01	107.3
2008-07-11	106.85
2008-07-21	106.65
2008-08-01	106.65
2008-08-11	106.67
2008-08-21	106.8
2008-09-01	106.83
2008-09-11	106.88
2008-09-21	107.0
2008-10-01	106.85
2008-10-11	106.8
2008-10-21	106.79
2008-11-01	106.8
2008-11-11	107.05
2008-11-21	107.39
2008-12-01	107.67
2008-12-11	107.92
2008-12-21	108.0
2009-01-01	108.18
2009-01-11	108.39
2009-01-21	108.5
2009-02-01	108.37
2009-02-11	108.21
2009-02-21	108.08
2009-03-01	107.96
2009-03-11	107.82
2009-03-21	107.74
