Date	value
2009-10-15	164.03
2010-01-25	168.43
2010-02-22	168.16
2010-03-22	166.75
2010-04-26	166.86
2010-05-25	166.35
2010-06-21	167.0
2010-07-19	165.89
2010-09-07	164.84
2010-09-22	164.43
2010-10-27	163.8
2010-10-28	163.81
2010-10-29	163.89
2010-10-30	163.88
2010-10-31	163.89
2010-11-01	163.78
2010-11-02	163.72
2010-11-03	163.69
2010-11-04	163.66
2010-11-05	163.66
2010-11-06	163.7
2010-11-07	163.76
2010-11-08	163.91
2010-11-09	164.04
2010-11-10	164.08
2010-11-11	164.13
2010-11-12	164.75
2010-11-13	165.26
2010-11-14	165.35
2010-11-15	165.38
2010-11-16	165.42
2010-11-17	165.45
2010-11-18	165.4
2010-11-19	165.39
2010-11-20	165.43
2010-11-21	165.73
2010-11-22	166.29
2010-11-23	166.5
2010-11-24	166.62
2010-11-25	166.7
2010-11-26	166.71
2010-11-27	166.77
2010-11-28	166.93
2010-11-29	167.1
2010-11-30	167.25
2010-12-01	167.28
2010-12-02	167.29
2010-12-03	167.27
2010-12-04	167.29
2010-12-05	167.34
2010-12-06	167.48
2010-12-07	167.65
2010-12-08	167.7
2010-12-09	167.66
2010-12-10	167.69
2010-12-11	167.74
2010-12-12	167.76
2010-12-13	167.7
2010-12-14	167.62
2010-12-15	167.53
2010-12-16	167.46
2010-12-17	167.4
2010-12-18	167.2
2010-12-19	167.02
2010-12-20	166.83
2010-12-21	166.73
2010-12-22	166.64
2010-12-23	166.54
2010-12-24	166.52
2010-12-25	166.62
2010-12-26	166.7
2010-12-27	166.79
2010-12-28	166.82
2010-12-29	166.85
2010-12-30	166.77
2010-12-31	166.64
2011-01-01	166.53
2011-01-02	166.43
2011-01-03	166.35
2011-01-04	166.32
2011-01-05	166.3
2011-01-06	166.25
2011-01-07	166.24
2011-01-08	166.3
2011-01-09	166.42
2011-01-10	166.49
2011-01-11	166.56
2011-01-12	166.65
2011-01-13	166.78
2011-01-14	166.89
2011-01-15	166.95
2011-01-16	167.0
2011-01-17	167.02
2011-01-18	167.03
2011-01-19	167.0
2011-01-20	166.95
2011-01-21	166.83
2011-01-22	166.71
2011-01-23	166.61
2011-01-24	166.51
2011-01-25	166.44
2011-01-26	166.42
2011-01-27	166.35
2011-01-28	166.28
2011-01-29	166.22
2011-01-30	166.14
2011-01-31	166.05
2011-02-01	165.98
2011-02-02	165.92
2011-02-03	165.89
2011-02-04	165.84
2011-02-05	165.8
2011-02-06	165.79
2011-02-07	165.77
