Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.5]
Date           	Date           	Entr_Limit     	Sort_Limit     	Entr_Intern_fix	Sort_Intern_fix	Dénoy_Pompage  	Désaturation   	Débordement    	Recharge_nappe 	Évaporat_nappe 	Exces_Irrigat  	Stockage_Posit 	Stockage_Négat 	Rivière->Nappe 	Nappe->Rivière 	Éch_Phas_Posit 	Éch_Phas_Négat 	Drains->Nappe  	Nappe->Drains  	Lacs->Nappe    	Nappe->Lacs    	Transpir_Racin 	Glob_Limites   	Glob_Intern_fix	Glob_Stock     	Glob_Riv_Nappe 	Abs_Déb_Résid  	Déb_Résid_Maxi 	%_Non_Converg  	d_BilQ_Global  	d_BilQ<->QFixé 	Glob_Drain_Napp	Glob_Lacs_Nappe	d_BilanVol_Pas 	%_Non_CV_Gl_Pas	Nombre_Désatur 	Nombre_Suintem 	Nombre_Itérat  	
30/08/1995 00:00	   242.0000    	   63954.82    	  -830.0180    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33616.56    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   98805.80    	  -128315.5    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63124.80    	   0.000000    	   0.000000    	  -29509.67    	   2.176030    	  0.1459852    	      0.0013369	  -1.436035    	  -1.436035    	   0.000000    	   0.000000    	   0.000000    	      0.0011191	   7.000000    	   5.000000    	   50.00000    	
31/08/1995 00:00	   243.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	 -0.3618467    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
01/09/1995 00:00	   244.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
02/09/1995 00:00	   245.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
03/09/1995 00:00	   246.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
04/09/1995 00:00	   247.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
05/09/1995 00:00	   248.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
06/09/1995 00:00	   249.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
07/09/1995 00:00	   250.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
08/09/1995 00:00	   251.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
09/09/1995 00:00	   252.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
10/09/1995 00:00	   253.0000    	   63929.57    	  -830.8532    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  -33960.36    	   916.0844    	   0.000000    	   0.000000    	   481.2473    	   0.000000    	   98869.76    	  -128443.0    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   63098.72    	   0.000000    	   481.2473    	  -29573.20    	      0.0134066	      0.0067242	  8.1889503E-06	     -0.0116766	     -0.0116766	   0.000000    	   0.000000    	   0.000000    	  9.0908719E-06	   7.000000    	   5.000000    	   57.00000    	
