Modélisation du bassin de la SOMME Nappe_Libre (hallue.rma) [V7.5]
Date           	Date           	Charge         	Charge         	Charge         	Débit          	Débit          	Débit          	Débit_Rivi     	Débit_Rivi     	Rabattem       	Rabattem       	Rabattem       	
hallue         	hallue         	X19_Y38        	X20_Y42        	X18_Y33        	X19_Y38        	X20_Y42        	X18_Y33        	X24_Y48        	X22_Y40        	X19_Y38        	X20_Y42        	X18_Y33        	
 <Date>        	 <Date>        	h_aqu_con      	h_agri         	h_aep          	q_con          	q_agri         	q_aep          	q_riv_con      	q_riv          	r_con          	r_agri         	r_aep          	
26/08/1995 00:00	   238.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
27/08/1995 00:00	   239.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
28/08/1995 00:00	   240.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
29/08/1995 00:00	   241.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
30/08/1995 00:00	   242.0000    	   37.93756    	   35.18043    	   43.71137    	  2.0485801E-04	  2.4283788E-04	  1.3935241E-04	  0.4830051    	  0.5539193    	 -0.7402487    	      0.0291959	  -4.030937    	
31/08/1995 00:00	   243.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
01/09/1995 00:00	   244.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
02/09/1995 00:00	   245.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
03/09/1995 00:00	   246.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
04/09/1995 00:00	   247.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
05/09/1995 00:00	   248.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
06/09/1995 00:00	   249.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
07/09/1995 00:00	   250.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
08/09/1995 00:00	   251.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
09/09/1995 00:00	   252.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
10/09/1995 00:00	   253.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
11/09/1995 00:00	   254.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
12/09/1995 00:00	   255.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
13/09/1995 00:00	   256.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
14/09/1995 00:00	   257.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
15/09/1995 00:00	   258.0000    	   37.93791    	   35.18118    	   43.71148    	 -9.2749266E-11	 -4.4221877E-10	 -1.0255111E-10	  0.4851588    	  0.5542224    	 -0.7399015    	      0.0299474	  -4.030835    	
